stat_key,stat_index,Connecticut,Andover,Ansonia,Ashford,Avon,Barkhamsted,Beacon Falls,Berlin,Bethany,Bethel,Bethlehem,Bloomfield,Bolton,Bozrah,Branford,Bridgeport,Bridgewater,Bristol,Brookfield,Brooklyn,Burlington,Canaan,Canterbury,Canton,Chaplin,Cheshire,Chester,Clinton,Colchester,Colebrook,Columbia,Cornwall,Coventry,Cromwell,Danbury,Darien,Deep River,Derby,Durham,Eastford,East Granby,East Haddam,East Hampton,East Hartford,East Haven,East Lyme,Easton,East Windsor,Ellington,Enfield,Essex,Fairfield,Farmington,Franklin,Glastonbury,Goshen,Granby,Greenwich,Griswold,Groton City,Guilford,Haddam,Hamden,Hampton,Hartford,Hartland,Harwinton,Hebron,Kent,Killingly,Killingworth,Lebanon,Ledyard,Ledyard (State Police),Lisbon,Litchfield,Lyme,Madison,Manchester,Mansfield,Marlborough,Meriden,Middlebury,Middlefield,Middletown,Milford,Monroe,Montville,Morris,Naugatuck,New Britain,New Canaan,New Fairfield,New Hartford,New Haven,Newington,New London,New Milford,Newtown,Norfolk,North Branford,North Canaan,North Haven,North Stonington,Norwalk,Norwich,Old Lyme,Old Saybrook,Orange,Oxford,Plainfield,Plainville,Plymouth,Pomfret,Portland,Preston,Prospect,Putnam Municipal,Putnam,Redding,Ridgefield,Rocky Hill,Roxbury,Salem,Salisbury,Scotland,Seymour,Sharon,Shelton,Sherman,Simsbury,Somers,Southbury,Southington,South Windsor,Sprague,Stafford,Stamford,Sterling,Stonington,Stratford,Suffield,Thomaston,Thompson,Tolland,Torrington,Trumbull,Union,Vernon,Voluntown,Wallingford,Warren,Washington,Waterbury,Waterford,Watertown,Westbrook,West Hartford,West Haven,Weston,Westport,Wethersfield,Willington,Wilton,Winchester,Willimantic,Windham,Windsor,Windsor Locks,Wolcott,Woodbridge,Woodbury,Woodstock,Yale University,UConn - Storrs,Foxwoods Casino,Mohegan Sun Casino,CT Department of Motor Vehicles,MTA,C.C.S.U.,E.C.S.U.,UConn Health Ctr,W.C.S.U.,S.C.S.U.,State Capitol,Groton Town,Groton Long Pt.,State Police Misc.*,Mashantucket Tribal PD,Mohegan Tribal PD,Fairfield 1,Hartford 1,Litchfield 1,Middlesex,New Haven 1,New London 1,Tolland 1,Windham 1,New York,Urban,NonUrban,CSP Total,NIBRS,Summary
Burgl 21,155,76,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,1,2,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,1,3,2,0,2,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,24,4,5,21,4,5,1,0,20,56,7,47,29
Burgl 22,156,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,4,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,3,1,15,0,1,2,0,14,34,3,28,20
Burgl 23,157,59,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,7,4,26,1,0,1,0,10,49,4,42,17
Burgl 24,158,50,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,1,2,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,3,1,17,5,1,4,0,5,45,4,42,8
Burgl 25-29,159,308,0,1,1,0,0,0,3,0,1,0,0,0,1,0,10,0,14,0,2,0,0,0,0,0,0,1,1,0,0,1,1,1,0,5,0,0,3,0,0,0,0,1,6,3,6,0,0,1,10,0,1,2,0,0,0,0,2,2,2,2,0,6,0,22,0,2,0,1,0,0,1,1,0,2,0,0,0,4,1,1,2,1,0,3,6,2,1,0,5,4,0,0,0,8,1,1,1,0,0,2,0,4,1,3,6,2,2,0,2,1,3,0,0,0,0,1,1,1,0,1,0,2,1,0,0,2,0,8,0,0,0,0,4,1,0,1,4,0,3,4,0,1,4,0,18,4,0,5,0,1,0,2,7,7,4,0,4,4,0,0,0,0,0,6,7,1,2,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,45,81,38,10,63,40,10,21,0,51,257,48,234,74
Burgl 30-34,160,241,0,2,0,0,0,0,2,1,1,0,2,0,0,2,6,0,4,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,4,2,0,4,1,0,0,0,1,4,1,2,0,0,0,2,1,1,3,0,2,0,0,3,0,2,1,2,4,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,2,10,1,1,5,1,0,0,0,3,7,0,0,0,9,0,0,0,1,0,1,0,7,0,2,4,0,1,3,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,5,0,0,0,2,0,7,2,0,1,0,0,3,1,0,0,0,7,3,0,2,0,0,0,1,18,4,2,0,4,3,0,0,0,0,0,0,2,0,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,33,77,12,16,77,17,4,5,0,53,188,21,168,73
Burgl 35-39,161,160,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,5,1,0,0,0,0,0,3,1,0,2,0,0,2,0,1,0,0,0,0,16,0,0,0,0,0,0,0,2,0,0,0,0,2,3,1,0,8,0,0,0,0,1,1,0,2,2,0,0,0,6,2,1,0,0,0,0,0,1,0,1,5,0,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,2,0,0,1,1,3,1,0,2,1,0,4,5,0,1,0,0,2,1,0,1,0,1,0,0,11,0,4,0,0,5,0,0,0,0,0,1,1,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,39,10,2,61,16,5,3,0,39,121,11,110,50
Burgl 40-44,162,170,0,1,0,0,0,0,2,0,0,0,0,0,0,1,3,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,6,1,0,0,0,0,0,0,3,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,1,1,1,0,2,5,1,0,0,5,1,4,1,0,0,1,1,4,0,6,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,7,2,5,0,1,0,0,0,4,0,0,1,0,1,14,0,2,0,0,0,3,0,2,1,1,0,0,4,9,1,0,0,7,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,43,7,1,51,18,3,1,0,28,142,11,127,43
Burgl 45-49,163,148,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,1,1,2,0,0,0,0,0,0,0,2,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,7,2,0,2,2,2,0,0,4,7,0,0,1,7,1,0,0,0,0,1,0,0,0,8,9,0,0,2,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,8,0,2,0,3,0,0,0,0,3,0,1,4,0,0,1,0,5,2,0,0,0,1,0,0,4,0,2,0,4,0,0,3,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,37,41,11,3,40,12,1,3,0,28,120,9,102,46
Burgl 50-54,164,114,0,2,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,0,0,1,1,0,0,0,2,7,0,0,1,11,0,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,1,1,0,1,5,0,0,0,0,1,0,0,0,0,5,0,0,4,0,0,0,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,23,4,1,61,4,1,0,0,26,88,4,83,31
