town,AgAsslt,AllOthr,Arson,Burgl,Curfew,DUI,Disord,DrugTot,Embezzl,Family,Forgery,Fraud,Gamble,Larceny,Liquor,MVTheft,Murder,NgMansl,Prostit,Rape,Robbery,Runaway,SexOff,SmAsslt,StlProp,Vagrncy,Vandal,Weapons,violent_crime,non_violent_crime
Index,1266.0,7153.0,2388.0,1547.0,7434.0,6032.0,6593.0,5191.0,3509.0,5752.0,2948.0,3229.0,5471.0,1827.0,6312.0,2107.0,145.0,425.0,4630.0,706.0,986.0,7714.0,4911.0,2668.0,3789.0,6873.0,4070.0,4350.0,8855.0,108760.0
Connecticut,3040.0,29734.0,114.0,2947.0,8.0,9230.0,13542.0,10331.0,183.0,1680.0,671.0,1235.0,71.0,14656.0,671.0,612.0,135.0,7.0,380.0,203.0,1392.0,0.0,673.0,22958.0,477.0,57.0,2275.0,1302.0,23976.0,115544.0
Andover,0.0,4.0,0.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,21.0
Ansonia_PD,7.0,382.0,1.0,15.0,0.0,32.0,70.0,98.0,0.0,11.0,7.0,3.0,0.0,98.0,0.0,4.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,138.0,0.0,0.0,6.0,4.0,139.0,877.0
Ashford_CSP,1.0,3.0,0.0,2.0,0.0,10.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,12.0,39.0
Avon_PD,0.0,25.0,0.0,1.0,0.0,25.0,26.0,21.0,0.0,1.0,3.0,7.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,11.0,160.0
Barkhamsted_CSP,0.0,7.0,0.0,1.0,0.0,10.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,15.0,43.0
Beacon_Falls_CSP,1.0,9.0,0.0,2.0,0.0,12.0,8.0,3.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,41.0,1.0,0.0,4.0,3.0,45.0,101.0
Berlin_PD,3.0,90.0,0.0,8.0,0.0,50.0,10.0,19.0,1.0,2.0,4.0,14.0,0.0,41.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,72.0,0.0,0.0,21.0,4.0,76.0,349.0
Bethany_CSP,0.0,23.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,0.0,13.0,59.0
Bethel_PD,1.0,210.0,1.0,10.0,0.0,39.0,38.0,16.0,1.0,10.0,2.0,12.0,0.0,65.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,36.0,1.0,0.0,14.0,2.0,42.0,467.0
Bethlehem_CSP,2.0,10.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,11.0,36.0
Bloomfield_PD,10.0,144.0,0.0,11.0,0.0,27.0,3.0,51.0,0.0,0.0,0.0,14.0,0.0,115.0,2.0,5.0,0.0,0.0,0.0,1.0,6.0,0.0,3.0,34.0,0.0,0.0,4.0,8.0,38.0,428.0
Bolton_CSP,0.0,8.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,0.0,15.0,40.0
Bozrah_CSP,1.0,5.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,12.0,36.0
Branford_PD,4.0,136.0,1.0,14.0,0.0,63.0,43.0,35.0,0.0,81.0,8.0,3.0,0.0,140.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,77.0,3.0,0.0,5.0,2.0,78.0,624.0
Bridgeport_PD,352.0,957.0,4.0,141.0,0.0,51.0,513.0,555.0,26.0,37.0,31.0,51.0,0.0,342.0,9.0,119.0,20.0,0.0,15.0,15.0,152.0,0.0,34.0,1375.0,17.0,2.0,144.0,131.0,1444.0,4741.0
Bridgewater_CSP,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Bristol_PD,17.0,250.0,0.0,67.0,0.0,125.0,106.0,191.0,1.0,32.0,3.0,15.0,0.0,264.0,1.0,13.0,1.0,0.0,0.0,2.0,13.0,0.0,7.0,380.0,3.0,0.0,44.0,13.0,390.0,1531.0
Brookfield_PD,2.0,90.0,0.0,5.0,0.0,21.0,0.0,20.0,0.0,4.0,2.0,4.0,0.0,56.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,2.0,0.0,3.0,3.0,41.0,253.0
Brooklyn_CSP,3.0,34.0,0.0,11.0,0.0,26.0,13.0,12.0,0.0,3.0,5.0,3.0,0.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,50.0,1.0,0.0,1.0,0.0,52.0,180.0
Burlington_CSP,0.0,12.0,0.0,3.0,0.0,19.0,6.0,4.0,1.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,3.0,0.0,20.0,78.0
Canaan_CSP,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,11.0,18.0
Canterbury_CSP,1.0,9.0,0.0,2.0,0.0,10.0,5.0,0.0,0.0,6.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,1.0,0.0,14.0,63.0
Canton_PD,0.0,12.0,0.0,2.0,0.0,10.0,34.0,7.0,0.0,1.0,0.0,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,8.0,99.0
Chaplin_CSP,0.0,4.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,2.0,0.0,1.0,0.0,16.0,36.0
Cheshire_PD,1.0,42.0,0.0,16.0,0.0,53.0,58.0,16.0,2.0,10.0,2.0,3.0,0.0,36.0,19.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,2.0,0.0,2.0,0.0,18.0,284.0
Chester_CSP,0.0,8.0,0.0,1.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,43.0
Clinton_PD,5.0,149.0,0.0,13.0,0.0,69.0,17.0,75.0,4.0,19.0,3.0,1.0,0.0,49.0,7.0,3.0,0.0,0.0,3.0,5.0,2.0,0.0,13.0,103.0,3.0,0.0,7.0,7.0,121.0,552.0
Colchester_CSP,3.0,150.0,0.0,6.0,0.0,86.0,9.0,20.0,0.0,3.0,2.0,1.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,3.0,0.0,8.0,4.0,53.0,371.0
Colebrook_CSP,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,5.0,15.0
Columbia_CSP,1.0,3.0,0.0,1.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,7.0,37.0
Cornwall_CSP,0.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0
Coventry_PD,1.0,17.0,0.0,24.0,0.0,30.0,17.0,3.0,0.0,2.0,1.0,0.0,0.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,50.0,0.0,0.0,2.0,1.0,52.0,172.0
Cromwell_PD,4.0,105.0,0.0,3.0,0.0,29.0,22.0,10.0,0.0,16.0,1.0,0.0,0.0,46.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,5.0,4.0,69.0,316.0
Danbury_PD,26.0,537.0,0.0,22.0,0.0,123.0,229.0,208.0,4.0,0.0,3.0,0.0,0.0,381.0,21.0,5.0,0.0,0.0,25.0,4.0,4.0,0.0,6.0,185.0,0.0,0.0,0.0,34.0,195.0,1791.0
Darien_PD,7.0,57.0,0.0,7.0,0.0,48.0,3.0,11.0,2.0,0.0,2.0,3.0,0.0,22.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,8.0,1.0,31.0,202.0
Deep_River_CSP,0.0,7.0,0.0,2.0,0.0,17.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,15.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,25.0,2.0,0.0,1.0,1.0,26.0,84.0
Derby_PD,6.0,79.0,0.0,21.0,0.0,50.0,50.0,111.0,0.0,7.0,1.0,7.0,0.0,56.0,0.0,7.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,101.0,0.0,0.0,2.0,3.0,104.0,504.0
Durham_CSP,0.0,4.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,1.0,8.0,27.0
Eastford_CSP,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0
East_Granby_CSP,1.0,8.0,0.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,2.0,0.0,0.0,12.0,41.0
East_Haddam_CSP,0.0,17.0,0.0,17.0,0.0,38.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,0.0,0.0,0.0,1.0,26.0,119.0
East_Hampton_PD,1.0,16.0,0.0,11.0,0.0,43.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,14.0,127.0
East_Hartford_PD,43.0,299.0,1.0,88.0,0.0,36.0,24.0,72.0,5.0,4.0,10.0,14.0,0.0,207.0,8.0,4.0,3.0,0.0,7.0,10.0,44.0,0.0,21.0,729.0,25.0,1.0,33.0,13.0,763.0,1658.0
East_Haven_PD,6.0,112.0,2.0,33.0,0.0,36.0,92.0,19.0,0.0,12.0,9.0,11.0,0.0,137.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,3.0,70.0,0.0,0.0,19.0,3.0,75.0,566.0
East_Lyme_CSP,4.0,50.0,0.0,16.0,0.0,46.0,2.0,17.0,0.0,5.0,3.0,3.0,0.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,43.0,3.0,0.0,13.0,3.0,48.0,257.0
Easton_PD,0.0,4.0,0.0,3.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,38.0
East_Windsor_PD,4.0,127.0,1.0,6.0,0.0,70.0,56.0,3.0,0.0,11.0,1.0,6.0,0.0,64.0,4.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,7.0,54.0,4.0,0.0,6.0,3.0,62.0,431.0
Ellington_CSP,2.0,4.0,1.0,7.0,0.0,18.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,6.0,0.0,18.0,83.0
