Description,Index,Connecticut,Andover,Ansonia PD,Ashford CSP,Avon PD,Barkhamsted CSP,Beacon Falls CSP,Berlin PD,Bethany CSP,Bethel PD,Bethlehem CSP,Bloomfield PD,Bolton CSP,Bozrah CSP,Branford PD,Bridgeport PD,Bridgewater CSP,Bristol PD,Brookfield PD,Brooklyn CSP,Burlington CSP,Canaan CSP,Canterbury CSP,Canton PD,Chaplin CSP,Cheshire PD,Chester CSP,Clinton PD,Colchester CSP,Colebrook CSP,Columbia CSP,Cornwall CSP,Coventry PD,Cromwell PD,Danbury PD,Darien PD,Deep River CSP,Derby PD,Durham CSP,Eastford CSP,East Granby CSP,East Haddam CSP,East Hampton PD,East Hartford PD,East Haven PD,East Lyme CSP,Easton PD,East Windsor PD,Ellington CSP,Enfield PD,Essex CSP,Fairfield PD,Farmington PD,Franklin CSP,Glastonbury PD,Goshen CSP,Granby PD,Greenwich PD,Griswold CSP,Groton City PD,Guilford PD,Haddam CSP,Hamden PD,Hampton CSP,Hartford PD,Hartland CSP,Harwinton CSP,Hebron CSP,Kent CSP,Killingly CSP,Killingworth CSP,Lebanon CSP,Ledyard CSP,Lisbon CSP,Litchfield CSP,Lyme CSP,Madison PD,Manchester PD,Mansfield CSP,Marlborough CSP,Meriden PD,Middlebury PD,Middlefield CSP,Middletown PD,Milford PD,Monroe PD,Montville CSP,Morris CSP,Naugatuck PD,New Britain PD,New Canaan PD,New Fairfield CSP,New Hartford CSP,New Haven PD,Newington PD,New London PD,New Milford PD,Newtown PD,Norfolk CSP,North Branford PD,North Canaan CSP,North Haven PD,North Stonington CSP,Norwalk PD,Norwich PD,Old Lyme CSP,Old Saybrook PD,Orange PD,Oxford CSP,Plainfield PD,Plainville PD,Plymouth PD,Pomfret CSP,Portland PD,Preston CSP,Prospect CSP,Putnam PD,Putnam CSP,Redding PD,Ridgefield PD,Rocky Hill PD,Roxbury CSP,Salem CSP,Salisbury CSP,Scotland CSP,Seymour PD,Sharon CSP,Shelton PD,Sherman CSP,Simsbury PD,Somers CSP,Southbury CSP,Southington PD,South Windsor PD,Sprague CSP,Stafford CSP,Stamford PD,Sterling CSP,Stonington PD,Stratford PD,Suffield PD,Thomaston PD,Thompson CSP,Tolland CSP,Torrington PD,Trumbull PD,Union CSP,Vernon PD,Voluntown CSP,Wallingford PD,Warren CSP,Washington CSP,Waterbury PD,Waterford PD,Watertown PD,Westbrook CSP,West Hartford PD,West Haven PD,Weston PD,Westport PD,Wethersfield PD,Willington CSP,Wilton PD,Winchester PD,Willimantic PD,Windham CSP,Windsor PD,Windsor Locks PD,Wolcott PD,Woodbridge PD,Woodbury CSP,Woodstock CSP,Yale Univ. PD,UCONN-Storrs PD,Foxwoods Casino CSP,Mohegan Sun Casino CSP,MTA PD,CCSU PD,ECSU PD,UCONN Health Ctr. PD,WCSU PD,SCSU PD,Capitol Police PD,Groton Town PD,Groton Long Pt. PD,CTSPOther,Fairfield,Hartford,Litchfield,Middlesex,New Haven,New London,Tolland,Windham,New York,Urban,NonUrban,CSP Total,NIBRS,Summary
Burgl 65+,167,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,1,5,0,3,3
Burgl Asian,168,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,4,0,0,5,4,2,0,0,3,15,2,9,9
Burgl Black,169,716,2,1,0,0,0,0,2,0,0,0,10,0,0,2,61,0,5,0,1,1,0,0,0,0,3,1,0,0,0,0,0,2,0,3,2,1,7,0,0,0,0,2,31,2,0,0,1,1,6,0,12,1,0,3,0,0,5,2,0,0,0,18,0,131,0,0,0,0,1,0,0,0,0,1,0,0,14,0,0,21,0,0,8,5,0,0,0,1,10,0,1,0,88,5,9,0,0,0,2,0,1,0,17,10,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,19,0,2,12,0,0,0,12,10,4,0,4,0,1,0,0,46,0,0,2,9,29,0,9,5,0,3,0,1,0,7,1,3,0,0,0,4,3,0,0,0,0,1,0,1,0,0,3,0,0,150,247,11,15,236,27,24,6,0,345,371,27,365,351
Burgl Indian,170,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,1,3,0
Burgl White,171,2173,0,13,2,1,1,2,6,0,10,0,1,1,1,12,78,0,62,5,10,2,0,2,2,0,13,0,13,4,0,1,0,22,3,19,5,1,13,1,0,3,17,9,57,27,16,3,5,6,56,6,31,8,3,14,0,1,10,5,1,18,5,12,0,191,0,1,0,3,10,0,4,0,2,3,4,4,77,8,2,81,10,0,12,42,15,12,0,38,60,4,8,2,54,31,9,0,2,3,10,5,15,9,11,55,4,4,5,3,14,13,9,3,9,4,5,5,2,0,6,0,0,3,1,0,11,1,21,1,12,7,3,15,11,3,6,22,3,9,33,2,12,5,15,51,17,0,19,0,30,1,1,87,28,13,1,44,59,3,14,13,0,7,9,11,1,12,6,18,2,3,0,5,6,0,0,0,0,1,0,0,0,0,12,0,1,325,707,119,82,592,188,91,69,0,432,1741,242,1265,908
Burgl Unknown Race,172,37,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,1,13,2,8,1,0,2,35,12,37,0
Burgl F,173,317,0,1,0,0,1,0,3,0,1,0,1,0,0,1,10,0,14,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4,0,1,0,0,0,0,2,2,5,0,0,0,0,0,9,1,5,1,0,1,0,0,0,0,0,1,0,2,0,36,0,0,0,0,2,0,3,0,0,1,0,0,6,1,0,5,2,0,0,5,0,1,0,9,7,0,2,0,14,5,1,0,0,0,1,0,5,1,4,9,0,1,1,0,4,2,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,5,1,1,1,1,3,5,1,5,0,0,12,3,0,2,0,6,0,0,17,6,4,2,2,14,0,2,3,0,1,1,1,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,38,108,24,12,87,30,7,11,0,78,239,27,174,143
Burgl M,174,2630,2,14,2,1,0,2,5,0,9,1,10,1,1,13,131,0,53,5,9,3,0,2,2,0,16,1,11,6,0,1,0,23,3,18,7,1,21,1,0,3,15,9,83,33,16,3,6,7,53,5,38,10,3,16,0,2,15,7,1,17,5,28,0,287,0,1,1,3,9,0,1,0,2,3,4,4,85,10,2,98,8,0,21,42,15,11,0,31,63,4,7,2,129,31,19,0,4,3,11,5,12,8,24,56,4,3,5,3,10,12,9,3,9,3,5,6,2,0,6,0,0,2,1,0,12,1,22,1,10,9,3,12,12,2,5,42,2,9,40,1,7,6,29,51,18,0,22,0,27,1,2,116,22,11,1,51,77,3,21,15,0,9,9,11,1,17,8,24,2,3,0,6,8,1,0,0,0,2,0,1,0,0,15,0,1,443,853,113,86,759,193,118,65,0,705,1925,257,1505,1125
Larceny <10,175,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1,0,0,0,2,5,0,4,3
Larceny 10-12,176,74,0,3,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,2,0,0,1,4,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,1,0,0,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,2,3,23,6,0,2,0,20,54,2,38,36
