town,AgAsslt,AllOthr,Arson,Burgl,Curfew,DUI,Disord,DrugTot,Embezzl,Family,Forgery,Fraud,Gamble,Larceny,Liquor,MVTheft,Murder,NgMansl,Prostit,Rape,Robbery,Runaway,SexOff,SmAsslt,StlProp,Vagrncy,Vandal,Weapons,violent_crime,non_violent_crime
Index,1266.0,7153.0,2388.0,1547.0,7434.0,6032.0,6593.0,5191.0,3509.0,5752.0,2948.0,3229.0,5471.0,1827.0,6312.0,2107.0,145.0,425.0,4630.0,706.0,986.0,7714.0,4911.0,2668.0,3789.0,6873.0,4070.0,4350.0,8855.0,108760.0
Connecticut,2764.0,29561.0,109.0,2366.0,6.0,8640.0,12126.0,10554.0,185.0,1437.0,652.0,1127.0,17.0,13831.0,412.0,646.0,103.0,12.0,343.0,218.0,1379.0,2.0,502.0,20911.0,346.0,18.0,2110.0,1232.0,21746.0,108845.0
Andover,1.0,6.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,21.0
Ansonia_PD,2.0,419.0,2.0,22.0,0.0,46.0,74.0,113.0,0.0,15.0,2.0,4.0,0.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,140.0,0.0,0.0,3.0,6.0,145.0,936.0
Ashford_CSP,1.0,1.0,0.0,5.0,0.0,11.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,5.0,34.0
Avon_PD,1.0,6.0,0.0,1.0,0.0,17.0,16.0,6.0,1.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,11.0,90.0
Barkhamsted_CSP,0.0,2.0,0.0,1.0,0.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,3.0,1.0,8.0,35.0
Beacon_Falls_CSP,2.0,5.0,2.0,2.0,0.0,14.0,7.0,1.0,0.0,3.0,2.0,1.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,20.0,72.0
Berlin_PD,0.0,77.0,2.0,12.0,0.0,51.0,8.0,22.0,0.0,2.0,1.0,16.0,0.0,56.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,59.0,1.0,0.0,13.0,1.0,62.0,333.0
Bethany_CSP,3.0,27.0,0.0,0.0,0.0,8.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,8.0,56.0
