town,AgAsslt,AllOthr,Arson,Burgl,Curfew,DUI,Disord,DrugTot,Embezzl,Family,Forgery,Fraud,Gamble,Larceny,Liquor,MVTheft,Murder,NgMansl,Prostit,Rape,Robbery,Runaway,SexOff,SmAsslt,StlProp,Vagrncy,Vandal,Weapons,violent_crime,non_violent_crime
Easton,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
East_Windsor,1.0,124.0,2.0,1.0,0.0,94.0,38.0,17.0,0.0,7.0,3.0,3.0,0.0,78.0,0.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,51.0,1.0,0.0,4.0,7.0,55.0,442.0
Ellington,1.0,20.0,0.0,3.0,0.0,15.0,16.0,4.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,2.0,0.0,10.0,84.0
Enfield,25.0,265.0,4.0,29.0,0.0,107.0,46.0,157.0,0.0,1.0,10.0,11.0,0.0,203.0,4.0,3.0,0.0,0.0,1.0,1.0,14.0,0.0,4.0,287.0,0.0,0.0,10.0,9.0,292.0,1166.0
Essex,0.0,6.0,0.0,2.0,0.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,30.0
Fairfield,9.0,53.0,2.0,27.0,0.0,116.0,71.0,51.0,1.0,15.0,22.0,10.0,0.0,199.0,9.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,63.0,0.0,0.0,9.0,10.0,68.0,670.0
Farmington,3.0,95.0,0.0,16.0,0.0,142.0,48.0,33.0,1.0,4.0,0.0,7.0,0.0,275.0,1.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,26.0,0.0,0.0,3.0,1.0,28.0,662.0
Franklin,0.0,4.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0
Glastonbury,6.0,170.0,0.0,30.0,0.0,59.0,18.0,68.0,7.0,2.0,16.0,15.0,0.0,97.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,106.0,5.0,0.0,3.0,1.0,107.0,606.0
Goshen,2.0,3.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,18.0
Granby,1.0,78.0,0.0,0.0,0.0,29.0,3.0,16.0,0.0,1.0,2.0,3.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,3.0,1.0,24.0,186.0
Greenwich,4.0,147.0,0.0,14.0,0.0,71.0,98.0,35.0,0.0,8.0,9.0,0.0,0.0,52.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,11.0,0.0,0.0,3.0,3.0,15.0,464.0
Griswold,5.0,77.0,0.0,9.0,0.0,36.0,31.0,48.0,0.0,3.0,1.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,29.0,0.0,0.0,1.0,2.0,31.0,250.0
Groton_City,7.0,104.0,2.0,5.0,0.0,37.0,31.0,15.0,0.0,19.0,2.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,177.0,2.0,0.0,11.0,1.0,178.0,429.0
Guilford,1.0,73.0,0.0,8.0,0.0,45.0,53.0,5.0,0.0,6.0,0.0,7.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,10.0,1.0,0.0,1.0,3.0,13.0,245.0
Haddam,2.0,16.0,0.0,5.0,0.0,29.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,74.0
Hamden,70.0,215.0,3.0,49.0,0.0,35.0,242.0,59.0,2.0,6.0,5.0,8.0,0.0,197.0,0.0,8.0,0.0,0.0,0.0,3.0,36.0,0.0,1.0,62.0,0.0,0.0,26.0,12.0,66.0,969.0
Hampton,1.0,1.0,0.0,5.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0
Hartford,298.0,2244.0,16.0,186.0,0.0,325.0,1447.0,1076.0,0.0,83.0,25.0,60.0,0.0,1151.0,15.0,68.0,44.0,1.0,74.0,21.0,169.0,0.0,38.0,1931.0,10.0,0.0,60.0,152.0,2035.0,9196.0
Hartland,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0
Harwinton,0.0,18.0,0.0,6.0,0.0,14.0,14.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,66.0
Hebron,1.0,15.0,0.0,0.0,0.0,18.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,54.0
Kent,0.0,4.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,26.0
Killingly,9.0,425.0,0.0,13.0,0.0,57.0,70.0,51.0,0.0,5.0,0.0,1.0,0.0,61.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,53.0,0.0,0.0,4.0,1.0,61.0,752.0
Killingworth,1.0,2.0,0.0,2.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,22.0
Lebanon,1.0,10.0,0.0,2.0,0.0,16.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,7.0,50.0
Ledyard,3.0,70.0,0.0,3.0,0.0,44.0,17.0,4.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,0.0,1.0,13.0,172.0
Lisbon,0.0,14.0,0.0,1.0,0.0,18.0,5.0,19.0,0.0,1.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,125.0
Litchfield,0.0,103.0,0.0,3.0,0.0,28.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,3.0,0.0,20.0,199.0
Lyme,0.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Madison,1.0,34.0,0.0,3.0,0.0,58.0,18.0,3.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,135.0
Manchester,51.0,731.0,6.0,44.0,0.0,176.0,17.0,162.0,7.0,3.0,19.0,18.0,0.0,589.0,4.0,16.0,0.0,0.0,4.0,7.0,28.0,0.0,23.0,986.0,11.0,0.0,36.0,20.0,1016.0,2907.0
Mansfield,2.0,43.0,0.0,5.0,0.0,76.0,27.0,5.0,0.0,1.0,3.0,3.0,0.0,57.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,21.0,0.0,0.0,9.0,0.0,24.0,258.0
Marlborough,0.0,7.0,0.0,3.0,0.0,40.0,11.0,7.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,87.0
