stat_key,stat_index,Connecticut Total,Andover,Ansonia,Ashford,Avon,Barkhamsted,Beacon Falls,Berlin,Bethany,Bethel,Bethlehem,Bloomfield,Bolton,Bozrah,Branford,Bridgeport,Bridgewater,Bristol,Brookfield,Brooklyn,Burlington,Canaan,Canterbury,Canton,Chaplin,Cheshire,Chester,Clinton,Colchester,Colebrook,Columbia,Cornwall,Coventry,Cromwell,Danbury,Darien,Deep River,Derby,Durham,Eastford,East Granby,East Haddam,East Hampton,East Hartford,East Haven,East Lyme PD,Easton,East Windsor,Ellington,Enfield,Essex,Fairfield,Farmington,Franklin,Glastonbury,Goshen,Granby,Greenwich,Griswold,Groton City,Guilford,Haddam,Hamden,Hampton,Hartford,Hartland,Harwinton,Hebron,Kent,Killingly,Killingworth,Lebanon,Ledyard PD,Lisbon,Litchfield,Lyme,Madison,Manchester,Mansfield,Marlborough,Meriden,Middlebury,Middlefield,Middletown,Milford,Monroe,Montville,Morris,Naugatuck,New Britain,New Canaan,New Fairfield,New Hartford,New Haven,Newington,New London,New Milford,Newtown,Norfolk,North Branford,North Canaan,North Haven,North Stonington,Norwalk,Norwich,Old Lyme,Old Saybrook,Orange,Oxford,Plainfield,Plainville,Plymouth,Pomfret,Portland,Preston,Prospect,Putnam Municipal,Putnam,Redding,Ridgefield,Rocky Hill,Roxbury,Salem,Salisbury,Scotland,Seymour,Sharon,Shelton,Sherman,Simsbury,Somers,Southbury,Southington,South Windsor,Sprague,Stafford,Stamford,Sterling,Stonington,Stratford,Suffield,Thomaston,Thompson,Tolland,Torrington,Trumbull,Union,Vernon,Voluntown,Wallingford,Warren,Washington,Waterbury,Waterford,Watertown,Westbrook,West Hartford,West Haven,Weston,Westport,Wethersfield,Willington,Wilton,Winchester,Willimantic,Windham,Windsor,Windsor Locks,Wolcott,Woodbridge,Woodbury,Woodstock,Yale University,UConn - Storrs,Foxwoods Casino,Mohegan Sun Casino,MTA,C.C.S.U.,E.C.S.U.,UConn Health Ctr,W.C.S.U.,S.C.S.U.,State Capitol,Groton Town,Groton Long Pt.,State Police Misc.*,Mashantucket Tribal PD,Mohegan Tribal PD,CT Dept Motor Vehicles,Fairfield County,Hartford County,Litchfield County,Middlesex County,New Haven County,New London County,Tolland County,Windham County,New York,"100,000+ pop","<100,000 pop",State Police Total,NIBRS Data,Summary UCR Data
Vagrncy F,724,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,1,0,0,8,0,8,0
Vagrncy M,725,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,7,2,1,0,1,0,3,13,0,15,1
AllOthr <10,726,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,1,3,0
AllOthr 10-12,727,33,0,4,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,13,2,4,1,0,7,26,6,21,12
AllOthr 13-14,728,200,0,7,0,0,0,0,3,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,5,3,0,0,1,1,1,0,0,3,0,0,2,1,3,0,4,0,0,7,0,6,0,2,0,0,3,0,2,1,0,4,0,0,0,0,1,6,0,0,5,5,0,0,0,0,7,0,0,0,9,1,2,1,0,0,0,0,0,0,4,5,1,0,0,2,4,7,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,13,0,1,6,0,0,1,0,0,0,0,0,0,5,0,0,6,1,1,0,3,3,0,1,1,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,31,44,16,13,65,19,3,9,0,36,164,35,160,40
AllOthr 15,729,186,0,5,0,0,0,0,0,0,1,0,0,0,0,0,3,0,4,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,5,3,1,0,0,3,0,0,0,5,0,2,0,0,0,0,4,0,0,5,0,4,0,1,0,0,3,0,0,3,0,5,0,0,0,2,0,6,0,0,0,3,0,0,0,2,3,0,0,0,7,1,0,1,0,0,0,0,0,0,2,6,0,4,0,1,3,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,6,0,1,0,0,13,0,0,8,0,0,0,3,1,4,0,3,0,3,0,0,7,1,0,0,3,2,0,1,1,0,0,0,3,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,39,36,9,9,56,15,12,10,0,34,152,30,155,31
AllOthr 16,730,207,0,1,0,0,0,0,1,0,0,1,0,0,0,3,4,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,1,2,0,0,0,0,0,3,2,1,0,0,1,5,0,0,1,0,0,0,0,1,0,2,0,0,4,0,2,0,2,0,0,1,0,1,6,0,4,0,0,1,0,0,3,0,0,0,2,0,3,0,1,4,0,1,0,15,5,0,1,1,0,0,0,0,0,2,6,0,2,0,0,3,3,1,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,1,0,1,2,3,1,3,0,0,25,0,1,3,0,0,1,0,0,1,0,2,0,0,0,0,7,6,0,0,2,9,0,0,1,0,0,0,2,0,0,0,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,0,0,0,42,38,9,12,63,29,6,8,0,53,154,33,173,34
AllOthr 17,731,309,0,2,0,0,0,0,0,0,10,0,1,0,0,0,4,0,5,1,0,0,0,0,1,0,0,0,2,1,0,1,0,1,1,5,1,0,0,1,0,0,0,0,2,1,1,0,1,0,4,0,0,0,0,0,0,2,2,0,1,1,0,5,0,13,0,1,0,0,0,0,2,2,0,6,0,0,4,0,0,8,0,0,3,1,0,2,0,8,14,0,0,0,28,0,0,2,2,0,0,0,0,1,6,9,0,8,0,1,3,1,0,0,1,2,0,1,1,0,1,0,0,1,0,0,0,0,4,0,0,2,2,0,1,0,0,29,0,2,6,0,2,0,0,2,2,0,0,0,6,0,0,22,9,0,0,2,6,0,0,2,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,0,0,73,53,13,27,98,35,4,6,0,96,213,35,249,60
AllOthr 18,732,535,0,5,0,0,0,0,0,0,13,1,0,0,0,1,9,0,10,3,1,0,0,1,0,0,4,0,1,2,0,0,0,1,0,14,2,0,1,0,0,0,1,0,8,0,1,0,1,0,9,1,2,3,0,0,1,0,3,0,0,0,0,2,0,38,0,0,0,1,7,0,0,0,0,2,0,1,13,2,0,6,0,0,6,6,0,2,0,11,33,5,0,0,33,8,3,6,2,0,1,0,0,2,20,18,1,2,0,1,7,3,3,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,3,0,0,0,1,1,1,0,3,9,0,3,13,1,4,0,0,2,4,1,17,0,6,0,0,37,12,2,0,3,5,0,0,7,0,0,0,10,0,3,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,29,3,0,0,104,142,22,40,126,49,24,28,0,126,409,61,397,138
AllOthr 19,733,717,0,5,0,0,0,0,1,0,13,0,5,0,0,6,19,0,11,2,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,18,10,1,3,0,0,0,0,0,5,4,1,0,6,0,8,0,4,4,0,4,1,2,5,3,2,0,0,12,0,28,0,0,1,0,11,0,0,2,1,2,0,0,19,1,0,16,0,1,6,5,1,3,0,21,53,2,0,0,48,3,2,6,1,2,0,1,1,0,22,40,0,1,2,0,2,4,2,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,2,1,0,1,3,1,1,0,0,17,0,5,17,1,1,0,0,4,4,0,5,1,4,0,0,41,11,2,1,3,16,0,1,14,2,1,1,13,0,7,1,1,0,0,0,4,3,0,0,2,3,0,0,1,0,0,4,0,31,6,1,0,143,184,22,42,196,87,13,30,0,153,564,74,518,199
AllOthr 20,734,855,0,9,0,0,0,0,0,0,6,1,3,0,0,2,30,0,11,3,1,1,0,1,0,0,1,0,4,3,0,0,0,0,1,20,0,0,2,0,0,0,0,0,6,3,0,0,0,0,11,0,8,5,0,3,0,4,5,0,5,1,1,10,0,39,0,1,1,0,4,0,1,4,0,10,0,0,25,3,0,13,0,0,10,3,0,5,0,29,52,0,0,0,55,0,3,7,3,1,0,1,1,0,18,41,0,2,4,0,7,10,0,1,2,1,0,8,0,0,2,2,0,0,0,0,14,0,3,0,2,0,4,0,1,0,1,27,0,6,10,2,1,0,1,0,3,0,5,0,8,0,0,68,13,6,0,2,9,0,0,18,3,0,1,45,1,4,5,0,0,0,0,0,1,0,0,8,1,1,0,0,0,0,8,0,38,4,1,0,146,207,29,58,236,95,15,69,0,219,636,85,620,235
AllOthr 21,735,946,0,6,0,0,0,0,3,1,3,0,8,0,0,2,19,0,8,3,0,0,0,0,0,0,3,0,3,15,0,0,0,0,2,23,2,1,4,0,0,0,1,1,5,5,3,0,2,0,8,0,10,1,1,5,0,5,6,1,1,1,1,22,0,49,0,0,0,0,18,0,0,8,0,1,0,3,32,2,0,22,0,0,16,11,0,8,1,34,46,1,0,0,51,4,3,13,4,0,0,1,6,3,17,36,0,7,2,0,10,11,6,0,3,1,0,5,0,0,1,1,0,0,0,0,0,0,5,0,0,1,2,0,2,0,0,22,0,11,18,0,3,0,3,1,10,0,7,0,5,0,0,74,16,5,0,2,13,0,1,22,0,1,1,30,0,1,0,2,0,0,0,0,2,0,0,3,6,0,0,0,1,0,6,0,41,7,0,0,149,221,32,76,270,120,15,63,0,215,731,105,704,242
AllOthr 22,736,1029,0,9,0,0,0,0,4,1,7,0,3,0,0,2,19,0,16,2,0,0,0,0,0,0,3,1,1,8,0,0,0,1,0,15,7,1,5,0,0,0,0,0,8,2,3,0,3,0,22,1,6,4,0,4,0,0,2,0,6,0,0,9,0,55,0,5,0,0,11,0,0,11,0,3,0,0,24,2,1,21,1,0,26,13,1,15,0,34,63,2,0,0,88,8,2,10,10,0,1,2,1,1,24,29,0,5,4,0,3,13,1,0,0,1,1,3,0,0,1,0,0,0,1,0,2,0,3,0,1,2,9,2,3,0,1,17,0,9,20,1,3,0,2,0,6,0,12,0,5,0,0,65,24,4,5,5,12,0,3,20,1,0,0,29,0,1,3,1,1,1,0,0,5,0,0,10,0,0,0,1,2,0,12,0,48,4,1,0,156,264,30,88,292,127,26,46,0,244,785,126,758,271
