town,AgAsslt,AllOthr,Arson,Burgl,Curfew,DUI,Disord,DrugTot,Embezzl,Family,Forgery,Fraud,Gamble,Larceny,Liquor,MVTheft,Murder,NgMansl,Prostit,Rape,Robbery,Runaway,SexOff,SmAsslt,StlProp,Vagrncy,Vandal,Weapons,violent_crime,non_violent_crime
stat_index,1266.0,7153.0,2388.0,1547.0,7434.0,6032.0,6593.0,5191.0,3509.0,5752.0,2948.0,3229.0,5471.0,1827.0,6312.0,2107.0,145.0,425.0,4630.0,706.0,986.0,7714.0,4911.0,2668.0,3789.0,6873.0,4070.0,4350.0,8855.0,108760.0
Connecticut,2550.0,29474.0,112.0,2421.0,7.0,8922.0,11946.0,9943.0,165.0,1406.0,683.0,963.0,14.0,13905.0,366.0,591.0,94.0,11.0,348.0,204.0,1172.0,2.0,425.0,18758.0,288.0,26.0,2019.0,1135.0,19492.0,105400.0
Andover,0.0,3.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Ansonia,8.0,386.0,0.0,2.0,0.0,28.0,70.0,104.0,0.0,8.0,9.0,1.0,0.0,68.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,0.0,3.0,122.0,0.0,0.0,6.0,6.0,126.0,824.0
Ashford,2.0,5.0,0.0,1.0,0.0,8.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,9.0,33.0
Avon,1.0,21.0,0.0,8.0,0.0,9.0,28.0,9.0,0.0,0.0,3.0,4.0,0.0,55.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,15.0,0.0,0.0,1.0,0.0,26.0,165.0
Barkhamsted,0.0,14.0,0.0,2.0,0.0,7.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,34.0
Beacon_Falls,2.0,15.0,0.0,1.0,0.0,21.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,8.0,62.0
Berlin,2.0,91.0,2.0,10.0,0.0,40.0,15.0,18.0,0.0,0.0,7.0,6.0,0.0,74.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,58.0,0.0,0.0,16.0,2.0,59.0,344.0
Bethany,1.0,47.0,0.0,2.0,0.0,9.0,7.0,4.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,83.0
Bethel,0.0,275.0,1.0,13.0,0.0,52.0,46.0,22.0,0.0,14.0,3.0,5.0,0.0,42.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,8.0,0.0,36.0,521.0
Bethlehem,0.0,2.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,8.0,23.0
Bloomfield,18.0,117.0,0.0,11.0,0.0,53.0,9.0,44.0,0.0,0.0,0.0,6.0,0.0,100.0,1.0,5.0,0.0,0.0,0.0,2.0,7.0,0.0,4.0,55.0,0.0,0.0,4.0,14.0,61.0,432.0
Bolton,1.0,4.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,32.0
Bozrah,0.0,6.0,0.0,2.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,25.0
Branford,9.0,109.0,1.0,15.0,0.0,54.0,29.0,33.0,0.0,73.0,4.0,9.0,0.0,167.0,0.0,5.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,71.0,3.0,0.0,7.0,1.0,75.0,591.0
Bridgeport,289.0,838.0,1.0,91.0,0.0,40.0,518.0,383.0,9.0,22.0,25.0,35.0,0.0,235.0,11.0,96.0,15.0,1.0,13.0,21.0,126.0,0.0,25.0,1093.0,23.0,0.0,146.0,90.0,1155.0,3857.0
Bridgewater,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Bristol,13.0,240.0,3.0,85.0,0.0,144.0,34.0,165.0,1.0,12.0,4.0,17.0,0.0,272.0,11.0,15.0,2.0,0.0,0.0,3.0,20.0,0.0,7.0,466.0,2.0,0.0,31.0,13.0,478.0,1547.0
Brookfield,0.0,99.0,0.0,2.0,0.0,49.0,0.0,18.0,0.0,2.0,3.0,4.0,0.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,1.0,0.0,1.0,0.0,17.0,230.0
Brooklyn,1.0,23.0,0.0,12.0,0.0,23.0,11.0,19.0,0.0,2.0,0.0,2.0,0.0,77.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,1.0,0.0,1.0,3.0,9.0,188.0
Burlington,0.0,8.0,0.0,3.0,0.0,18.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,52.0
