town,AgAsslt,AllOthr,Arson,Burgl,Curfew,DUI,Disord,DrugTot,Embezzl,Family,Forgery,Fraud,Gamble,Larceny,Liquor,MVTheft,Murder,NgMansl,Prostit,Rape,Robbery,Runaway,SexOff,SmAsslt,StlProp,Vagrncy,Vandal,Weapons,violent_crime,non_violent_crime
stat_index,1266.0,7153.0,2388.0,1547.0,7434.0,6032.0,6593.0,5191.0,3509.0,5752.0,2948.0,3229.0,5471.0,1827.0,6312.0,2107.0,145.0,425.0,4630.0,706.0,986.0,7714.0,4911.0,2668.0,3789.0,6873.0,4070.0,4350.0,8855.0,108760.0
Connecticut,2513.0,28377.0,75.0,2035.0,3.0,8333.0,10589.0,9267.0,147.0,1505.0,654.0,918.0,7.0,11223.0,159.0,939.0,85.0,13.0,183.0,161.0,1091.0,6.0,400.0,18839.0,696.0,24.0,2219.0,1266.0,19498.0,99214.0
Andover,0.0,3.0,0.0,0.0,0.0,7.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,6.0,27.0
Ansonia,7.0,336.0,0.0,13.0,0.0,24.0,103.0,41.0,1.0,7.0,8.0,2.0,0.0,67.0,0.0,8.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,166.0,0.0,0.0,8.0,18.0,168.0,808.0
Ashford,1.0,2.0,0.0,1.0,0.0,6.0,6.0,8.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,1.0,8.0,42.0
Avon,0.0,3.0,0.0,1.0,0.0,23.0,16.0,14.0,2.0,0.0,4.0,4.0,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,0.0,0.0,1.0,3.0,15.0,108.0
Barkhamsted,0.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0,20.0
Beacon_Falls,1.0,2.0,0.0,1.0,0.0,13.0,12.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,11.0,50.0
Berlin,9.0,81.0,0.0,9.0,0.0,34.0,13.0,23.0,5.0,0.0,3.0,7.0,0.0,53.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,47.0,1.0,0.0,10.0,3.0,47.0,297.0
Bethany,0.0,56.0,0.0,2.0,0.0,12.0,3.0,2.0,2.0,1.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,7.0,101.0
Bethel,2.0,210.0,0.0,5.0,0.0,26.0,50.0,19.0,0.0,10.0,5.0,6.0,0.0,31.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,28.0,0.0,0.0,5.0,5.0,30.0,408.0
Bethlehem,0.0,7.0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,27.0
Bloomfield,14.0,119.0,1.0,6.0,0.0,46.0,16.0,39.0,0.0,0.0,1.0,9.0,0.0,84.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,157.0,0.0,0.0,6.0,16.0,158.0,514.0
Bolton,1.0,6.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,28.0
Bozrah,0.0,4.0,0.0,2.0,0.0,7.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,31.0
Branford,7.0,130.0,0.0,4.0,0.0,75.0,29.0,33.0,0.0,77.0,4.0,5.0,0.0,168.0,1.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,94.0,0.0,0.0,14.0,4.0,98.0,655.0
